Time1,Time2,Tdif (seconds)
2018/08/12 22:00:02,2018/08/13 05:00:00,25198
2018/08/13 18:56:57,2018/08/13 18:57:38,41
2018/08/13 22:00:01,2018/08/14 05:00:00,25199
2018/08/18 22:00:01,2018/08/19 05:00:00,25199
2018/08/19 22:00:00,2018/08/20 05:00:00,25200
2018/08/27 22:00:02,2018/08/28 05:00:00,25198
2018/08/28 22:00:03,2018/08/29 05:00:00,25197
2018/09/20 22:00:02,2018/09/21 05:00:00,25198
2018/09/22 21:00:01,2018/09/23 05:00:00,28799
2018/09/23 21:00:02,2018/09/24 05:00:00,28798
2018/09/24 21:00:02,2018/09/25 05:00:00,28798
2018/09/25 21:00:02,2018/09/26 05:00:00,28798
2018/09/26 21:00:02,2018/09/27 05:00:00,28798
2018/09/27 21:00:02,2018/09/28 05:00:00,28798
2018/09/28 21:00:02,2018/09/28 21:24:19,1457
2018/09/28 21:24:19,2018/09/28 21:24:29,10
2018/09/28 21:24:29,2018/09/28 21:24:29,0
2018/09/28 21:24:29,2018/09/28 21:24:29,0
2018/09/28 21:24:29,2018/09/28 21:24:30,1
2018/09/28 21:24:30,2018/09/28 21:25:00,30
2018/10/13 21:00:04,2018/10/14 05:00:00,28796
2018/10/14 21:00:02,2018/10/15 05:00:00,28798
2018/10/15 21:00:02,2018/10/16 05:00:00,28798
2018/10/16 21:00:03,2018/10/17 05:00:00,28797
2018/10/17 21:00:02,2018/10/18 05:00:00,28798
2018/10/18 20:00:03,2018/10/19 05:00:00,32397
2018/10/19 20:00:03,2018/10/20 05:00:00,32397
2018/10/20 20:00:04,2018/10/21 05:00:00,32396
2018/10/21 20:00:03,2018/10/22 05:00:00,32397
2018/10/22 20:00:04,2018/10/23 05:00:00,32396
2018/11/16 19:45:02,2018/11/17 05:00:00,33298
2018/11/17 18:10:21,2018/11/18 05:00:00,38979
2018/11/18 18:00:01,2018/11/19 05:00:00,39599
2018/12/04 19:09:12,2018/12/05 05:00:00,35448
2018/12/05 18:00:00,2018/12/06 05:00:00,39600
2018/12/06 18:00:00,2018/12/07 05:00:00,39600
2019/01/25 19:01:57,2019/01/26 06:00:00,39483
2019/03/02 20:00:01,2019/03/03 05:00:00,32399
2019/03/03 20:00:04,2019/03/04 05:00:00,32396
2019/03/04 20:00:04,2019/03/05 05:00:00,32396
2019/03/05 20:00:00,2019/03/06 05:00:00,32400
